file,dt,tz,model,lat,lon,alt,dir,w,h,focal,eq35,zoom,lens
IMG_3468.HEIC,2026:09:20 15:09:08,-04:00,iPhone 17,40.21628888888889,-74.00578333333333,7.278520554791953,325.96633941093967,4284,5712,2.220000028611935,14,,iPhone 17 back dual wide camera 2.22mm f/2.2
IMG_3469.HEIC,2026:09:20 15:09:14,-04:00,iPhone 17,40.21631111111111,-74.00576111111111,5.567314512696837,59.11823273179838,4284,5712,2.220000028611935,14,,iPhone 17 back dual wide camera 2.22mm f/2.2
IMG_3470.HEIC,2026:09:20 15:09:17,-04:00,iPhone 17,40.21630833333334,-74.00575277777777,5.906211372064277,66.42327878974993,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3471.HEIC,2026:09:20 15:09:20,-04:00,iPhone 17,40.21630833333334,-74.00576666666667,5.036040483831153,118.19395446421633,4284,5712,2.220000028611935,14,,iPhone 17 back dual wide camera 2.22mm f/2.2
IMG_3472.HEIC,2026:09:20 15:09:21,-04:00,iPhone 17,40.21630555555556,-74.00576666666667,4.309133729264796,44.476806640625,4284,5712,2.220000028611935,14,,iPhone 17 back dual wide camera 2.22mm f/2.2
IMG_3473.HEIC,2026:09:20 15:09:57,-04:00,iPhone 17,40.21617777777778,-74.00576666666667,2.442470550780006,244.09690844233057,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3474.HEIC,2026:09:20 15:09:58,-04:00,iPhone 17,40.21617777777778,-74.00576666666667,3.1134910589686173,248.86781300376143,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3475.HEIC,2026:09:20 15:10:01,-04:00,iPhone 17,40.21617777777778,-74.00576111111111,3.0627708427656684,272.5590513068732,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3476.HEIC,2026:09:20 15:10:03,-04:00,iPhone 17,40.216175,-74.00576111111111,3.8632774376719015,296.0097349918875,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3477.HEIC,2026:09:20 15:10:06,-04:00,iPhone 17,40.216175,-74.00576111111111,3.9143028257200414,256.37600716204116,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
